Date,Time,Marondera,Gweru,Mutare,Masvingo,Chinhoyi,Psi,Bridh,Mpilo,NMRL,Bindura,Kadoma,VicFalls,Gwanda,Lupane
26/03/20 , 06:09 , 0.397 , 0.446 , 0.370 , 14.4 , 0.268 , 0.331 , 9.69 , 11.7 , 0.342 , 0.311 , 0.312 , 0.329 , 0.311 , 0.260 , 0.329
26/03/20 , 06:12 , 0.333 , 0.396 , 0.390 , 9.43 , 0.274 , 0.271 , 11.9 , 14.1 , 0.233 , 0.333 , 0.303 , 0.385 , 0.333 , 0.275 , 0.385
26/03/20 , 06:15 , 0.315 , 0.542 , 0.505 , 12.4 , 0.395 , 0.504 , 9.70 , 16.0 , 0.549 , 0.353 , 0.377 , 0.525 , 0.353 , 0.288 , 0.525
26/03/20 , 06:18 , 0.357 , 0.480 , 0.505 , 10.2 , 0.396 , 0.462 , 9.80 , 11.8 , 0.409 , 0.340 , 0.382 , 0.513 , 0.340 , 0.310 , 0.513
26/03/20 , 06:21 , 0.337 , 0.497 , 0.498 , 11.3 , 0.404 , 0.411 , 11.0 , 11.4 , 0.550 , 0.356 , 0.410 , 0.457 , 0.356 , 0.294 , 0.457
26/03/20 , 06:24 , 0.359 , 0.461 , 0.330 , 12.1 , 0.492 , 0.331 , 11.0 , 10.8 , 0.434 , 0.324 , 0.332 , 0.404 , 0.324 , 0.358 , 0.404
26/03/20 , 06:27 , 0.324 , 0.559 , 0.309 , , 0.596 , 0.511 , exceeded , 12.0 , 0.577 , 0.320 , 0.345 , 0.553 , 0.320 , 0.339 , 0.553
26/03/20 , 06:30 , 0.423 , 0.529 , 0.311 , , 0.466 , 0.420 , exceeded , 12.0 , 0.379 , 0.933 , 0.362 , 0.430 , 0.933 , 0.258 , 0.430
26/03/20 , 06:33 , 0.367 , 0.403 , 0.370 , , 0.591 , 0.507 , exceeded , 10.7 , 0.547 , 0.363 , 0.363 , 0.525 , 0.363 , 0.312 , 0.525
26/03/20 , 06:36 , 0.336 , 0.469 , 0.415 , , 0.797 , 0.419 , exceeded , 11.0 , 0.434 , 0.238 , 0.430 , 0.426 , 0.238 , 0.309 , 0.426
26/03/20 , 06:39 , 0.326 , 0.496 , 0.406 , , 0.555 , 0.374 , exceeded , 13.6 , 0.514 , 0.318 , 0.325 , 0.474 , 0.318 , 0.358 , 0.474
26/03/20 , 06:42 , 0.327 , 0.463 , 0.346 , , 0.467 , 0.476 , exceeded , 11.9 , 0.542 , 0.300 , 0.313 , 0.420 , 0.300 , 0.308 , 0.420
26/03/20 , 06:45 , 0.368 , 0.590 , 0.408 , , 0.532 , 0.383 , exceeded , 11.7 , 0.407 , 0.345 , 0.410 , 0.442 , 0.345 , 0.307 , 0.442
26/03/20 , 06:48 , 0.368 , 0.504 , 0.460 , , 0.535 , 0.459 , exceeded , 11.3 , 0.537 , 0.393 , 0.365 , 0.490 , 0.393 , 0.295 , 0.490
26/03/20 , 06:51 , 0.422 , 0.591 , 0.459 , , 0.597 , 0.527 , exceeded , 11.9 , 0.625 , 0.331 , 0.400 , 0.473 , 0.331 , 0.326 , 0.473
26/03/20 , 06:54 , 0.301 , 0.349 , 0.301 , , 0.480 , 0.425 , exceeded , 12.0 , 0.403 , 0.370 , 0.346 , 0.518 , 0.370 , 0.293 , 0.518
26/03/20 , 06:57 , 0.320 , 0.539 , 0.467 , , 0.508 , 0.355 , exceeded , 11.6 , 0.357 , 0.403 , 0.312 , 0.466 , 0.403 , 0.334 , 0.466
26/03/20 , 07:00 , 0.343 , 0.540 , 0.405 , , 0.616 , 0.522 , exceeded , 11.4 , 0.525 , 0.326 , 0.349 , 0.498 , 0.326 , 0.300 , 0.498
26/03/20 , 07:03 , 0.324 , 0.406 , 0.247 , , 0.514 , 0.410 , exceeded , 10.5 , 0.421 , 0.388 , 0.384 , 0.488 , 0.388 , 0.266 , 0.488
26/03/20 , 07:06 , 0.293 , 0.414 , 0.317 , , 0.621 , 0.431 , exceeded , 14.0 , 0.506 , 0.359 , 0.421 , 0.254 , 0.359 , 0.311 , 0.254
26/03/20 , 07:09 , 0.416 , 0.496 , 0.311 , , 0.494 , 0.269 , , 12.1 , 0.517 , 0.398 , 0.329 , 0.499 , 0.398 , 0.229 , 0.499
26/03/20 , 07:12 , 0.351 , 0.394 , 0.353 , , 0.514 , 0.403 , exceeded , 11.5 , 0.429 , 0.328 , 0.377 , 0.321 , 0.328 , 0.320 , 0.321
26/03/20 , 07:15 , 0.312 , 0.443 , 0.270 , , 0.369 , 0.325 , exceeded , 10.5 , 0.339 , 0.394 , 0.325 , 0.337 , 0.394 , 0.310 , 0.337
26/03/20 , 07:18 , 0.548 , 0.296 , 0.211 , , 0.326 , 0.278 , , 12.0 , 0.451 , 0.440 , 0.352 , 0.343 , 0.440 , 0.255 , 0.343
26/03/20 , 07:21 , 0.344 , 0.487 , 0.325 , , 0.360 , 0.216 , exceeded , 12.8 , 0.326 , 0.329 , 0.365 , 0.210 , 0.329 , 0.200 , 0.210
26/03/20 , 07:24 , 0.362 , 0.558 , 0.393 , , 0.538 , 0.465 , exceeded , 10.5 , 0.445 , 0.326 , 0.303 , 0.425 , 0.326 , 0.263 , 0.425
26/03/20 , 07:27 , 0.338 , 0.380 , 0.241 , , 0.451 , 0.259 , , 12.6 , 0.397 , 0.332 , 0.425 , 0.409 , 0.332 , 0.271 , 0.409
26/03/20 , 07:30 , 0.378 , 0.427 , 0.324 , , 0.454 , 0.459 , exceeded , 15.7 , 0.471 , 0.393 , 0.589 , 0.449 , 0.393 , 0.276 , 0.449
26/03/20 , 07:33 , 0.366 , 0.520 , 0.253 , , 0.564 , 0.484 , exceeded , 11.4 , 0.427 , 0.279 , 0.416 , 0.398 , 0.279 , 0.291 , 0.398
26/03/20 , 07:36 , 0.321 , 0.423 , 0.337 , , 0.531 , 0.485 , exceeded , 20.3 , 0.504 , 0.320 , 0.321 , 0.491 , 0.320 , 0.290 , 0.491
26/03/20 , 07:39 , 0.381 , 0.523 , 0.494 , , 0.527 , 0.505 , exceeded , 11.7 , 0.520 , 0.354 , 0.383 , 0.435 , 0.354 , 0.286 , 0.435
26/03/20 , 07:42 , 0.357 , 0.509 , 0.416 , , 0.468 , 0.420 , exceeded , 11.2 , 0.267 , 0.376 , 0.345 , 0.373 , 0.376 , 0.231 , 0.373
26/03/20 , 07:45 , 0.356 , 0.366 , 0.334 , , 0.510 , 0.349 , exceeded , 14.3 , 0.438 , 0.340 , 0.350 , 0.409 , 0.340 , 0.244 , 0.409
26/03/20 , 07:48 , 0.310 , 0.474 , 0.241 , , 0.492 , 0.468 , exceeded , 10.4 , 0.472 , 0.350 , 0.360 , 0.476 , 0.350 , 0.327 , 0.476
26/03/20 , 07:51 , 0.327 , 0.473 , 0.329 , , 0.440 , 0.374 , exceeded , 12.1 , 0.459 , 0.362 , 0.479 , 0.454 , 0.362 , 0.248 , 0.454
26/03/20 , 07:54 , , 0.421 , 0.331 , , 0.479 , 0.463 , exceeded , 11.8 , 0.357 , 0.360 , 0.372 , 0.460 , 0.360 , 0.273 , 0.460
26/03/20 , 07:57 , 48.0 , 0.523 , 0.341 , , 0.550 , 0.449 , 48.2 , 12.5 , 0.398 , 0.292 , 0.366 , 0.377 , 0.292 , 0.234 , 0.377
26/03/20 , 08:00 , 7.86 , 0.412 , 0.283 , , 0.522 , 0.386 , 7.92 , 11.1 , 0.450 , 0.351 , 0.311 , 0.387 , 0.351 , 0.228 , 0.387
26/03/20 , 08:03 , , 0.518 , 0.440 , , 0.519 , 0.502 , , 10.1 , 0.503 , 0.313 , 0.352 , 0.457 , 0.313 , 0.298 , 0.457
26/03/20 , 08:06 , 2.33 , 0.493 , 0.462 , , 0.499 , 0.462 , 9.29 , 13.3 , 0.332 , 0.252 , 0.431 , 0.382 , 0.252 , 0.246 , 0.382
26/03/20 , 08:09 , 4.70 , 0.528 , 0.392 , , 0.476 , 0.357 , 11.4 , 10.9 , 0.393 , 2.27 , 0.333 , 0.459 , 2.27 , 0.389 , 0.459
26/03/20 , 08:12 , , 0.533 , 0.504 , , 0.556 , 0.532 , 9.92 , 14.2 , 0.427 , 0.275 , 0.400 , 0.538 , 0.275 , 0.305 , 0.538
26/03/20 , 08:15 , 62.3 , 0.537 , 0.542 , , 0.540 , 0.499 , 10.6 , 13.8 , 0.398 , 0.313 , 0.454 , 0.476 , 0.313 , 0.297 , 0.476
26/03/20 , 08:18 , 3.58 , 0.327 , 0.345 , , 0.424 , 0.456 , 9.95 , , 0.535 , 0.261 , 0.345 , 0.511 , 0.261 , 0.297 , 0.511
26/03/20 , 08:21 , 34.6 , 0.475 , 0.449 , , 0.484 , 0.515 , 9.31 , 23.4 , 0.518 , 0.365 , 0.361 , 0.496 , 0.365 , 0.295 , 0.496
26/03/20 , 08:24 , 1.66 , 0.511 , 0.474 , , 0.462 , 0.525 , 8.46 , 21.6 , 0.540 , 0.316 , 0.291 , 0.497 , 0.316 , 0.294 , 0.497
26/03/20 , 08:27 , 66.1 , 0.398 , 0.488 , , 0.547 , 0.479 , 10.8 , 18.0 , 0.419 , 0.311 , 0.365 , 0.516 , 0.311 , 0.301 , 0.516
26/03/20 , 08:30 , 12.6 , 0.347 , 0.398 , , 0.485 , 0.303 , 9.38 , 13.1 , 0.454 , 0.366 , 0.334 , 0.411 , 0.366 , 0.294 , 0.411
26/03/20 , 08:33 , 41.4 , 0.382 , 0.268 , , 0.428 , 0.409 , 8.09 , 12.0 , 0.364 , 0.350 , 0.349 , 0.363 , 0.350 , 0.262 , 0.363
26/03/20 , 08:36 , 33.5 , 0.473 , 0.373 , , 0.460 , 0.443 , 8.90 , 9.60 , 0.349 , 0.268 , 0.363 , 0.441 , 0.268 , 0.259 , 0.441
26/03/20 , 08:39 , 30.6 , 0.455 , 0.394 , , 0.525 , 0.466 , 8.10 , 16.7 , 0.447 , 0.322 , 0.366 , 0.477 , 0.322 , 0.283 , 0.477
26/03/20 , 08:42 , , 0.421 , 0.333 , , 0.370 , 0.357 , 9.42 , 10.8 , 0.335 , 0.314 , 0.357 , 0.393 , 0.314 , 0.322 , 0.393
26/03/20 , 08:45 , , 0.480 , 0.430 , , 0.496 , 0.403 , 7.73 , 12.1 , 0.478 , 0.297 , 0.318 , 0.388 , 0.297 , 0.259 , 0.388
26/03/20 , 08:48 , 0.605 , 0.423 , 0.301 , , 0.616 , 0.510 , 9.18 , 21.5 , 0.426 , 0.386 , 0.373 , 0.535 , 0.386 , 0.303 , 0.535
26/03/20 , 08:51 , 0.301 , 0.533 , 0.496 , , 0.429 , 0.530 , 9.52 , 10.1 , 0.428 , 0.309 , 0.286 , 0.533 , 0.309 , 0.296 , 0.533
26/03/20 , 08:54 , 0.371 , 0.346 , 0.328 , , 0.526 , 0.518 , 9.63 , 19.8 , 0.412 , 0.362 , 0.347 , 0.483 , 0.362 , 0.300 , 0.483
26/03/20 , 08:57 , 0.334 , 0.405 , 0.389 , , 0.474 , 0.393 , 8.11 , 22.0 , 0.430 , 0.328 , 0.349 , 0.452 , 0.328 , 0.305 , 0.452
26/03/20 , 09:00 , 0.345 , 0.533 , 0.517 , , 0.490 , 0.467 , 8.96 , 11.4 , 0.476 , 0.317 , 0.410 , 0.381 , 0.317 , 0.385 , 0.381
26/03/20 , 09:03 , 0.305 , 0.490 , 0.331 , , 0.453 , 0.440 , 8.30 , 12.9 , 0.317 , 0.335 , 0.370 , 0.457 , 0.335 , 0.292 , 0.457
26/03/20 , 09:06 , , 0.336 , 0.292 , , 0.421 , 0.527 , 8.23 , 18.2 , 0.596 , 0.357 , 0.443 , 0.525 , 0.357 , 0.292 , 0.525
26/03/20 , 09:09 , 0.734 , 0.485 , 0.390 , , 0.493 , 0.515 , 11.5 , 14.3 , 0.422 , 0.369 , 0.385 , 0.519 , 0.369 , 0.292 , 0.519
26/03/20 , 09:12 , 0.342 , 0.424 , 0.292 , , 0.518 , 0.323 , 8.15 , 11.1 , 0.507 , 0.371 , 0.371 , 0.523 , 0.371 , 0.302 , 0.523
26/03/20 , 09:15 , 0.284 , 0.362 , 0.261 , , 0.427 , 0.427 , 10.4 , 13.8 , 0.446 , 0.317 , 0.303 , 0.448 , 0.317 , 0.286 , 0.448
26/03/20 , 09:18 , 114 , 0.479 , 0.521 , , 0.543 , 0.516 , 9.74 , 16.2 , 0.501 , 0.357 , 0.370 , 0.393 , 0.357 , 0.283 , 0.393
26/03/20 , 09:21 , 0.309 , 0.481 , 0.367 , , 0.544 , 0.522 , 7.80 , 11.9 , 0.414 , 0.341 , 0.322 , 0.535 , 0.341 , 0.291 , 0.535
26/03/20 , 09:24 , 0.389 , 0.407 , 0.264 , , 0.516 , 0.323 , 11.4 , 10.4 , 0.331 , 0.342 , 0.287 , 0.404 , 0.342 , 0.265 , 0.404
26/03/20 , 09:27 , 0.326 , 0.511 , 0.370 , , 0.523 , 0.511 , 9.08 , 12.4 , 0.414 , 0.394 , 0.407 , 0.517 , 0.394 , 0.300 , 0.517
26/03/20 , 09:30 , 0.345 , 0.445 , 0.477 , , 0.459 , 0.487 , 8.25 , 12.0 , 0.349 , 0.379 , 0.426 , 0.475 , 0.379 , 0.289 , 0.475
26/03/20 , 09:33 , 0.310 , 0.434 , 0.315 , , 0.422 , 0.462 , 13.1 , 17.9 , 0.423 , 0.379 , 0.320 , 0.465 , 0.379 , 0.292 , 0.465
26/03/20 , 09:36 , 0.373 , 0.531 , 0.299 , , 0.441 , 0.447 , 10.5 , 20.7 , 0.528 , 0.267 , 0.367 , 0.538 , 0.267 , 0.301 , 0.538
26/03/20 , 09:39 , 0.274 , 0.354 , 0.421 , , 0.522 , 0.447 , 7.46 , 10.9 , 0.401 , 0.310 , 0.323 , 0.532 , 0.310 , 0.300 , 0.532
26/03/20 , 09:42 , 0.346 , 0.222 , 0.221 , 9.75 , 0.231 , 0.327 , 8.36 , 12.8 , 0.548 , 0.295 , 0.324 , 0.432 , 0.295 , 0.295 , 0.432
26/03/20 , 09:45 , 0.349 , 0.569 , 0.410 , 11.9 , 0.405 , 0.542 , 53.8 , 9.61 , 0.432 , 0.264 , 0.340 , 0.498 , 0.264 , 0.345 , 0.498
26/03/20 , 09:48 , 0.344 , 0.401 , 0.394 , 9.64 , 0.393 , 0.377 , 18.0 , 10.9 , 0.347 , 0.361 , 0.364 , 0.394 , 0.361 , 0.331 , 0.394
26/03/20 , 09:51 , 0.374 , 0.436 , 0.377 , 55.3 , 0.388 , 0.422 , 9.44 , 11.5 , 0.343 , 0.352 , 1.09 , 0.796 , 0.352 , 0.244 , 0.796
26/03/20 , 09:54 , 0.425 , 0.475 , 0.333 , 11.6 , 0.400 , 0.346 , 9.37 , 12.4 , 0.387 , 0.366 , 0.361 , 0.389 , 0.366 , 0.239 , 0.389
26/03/20 , 09:57 , 0.406 , 0.443 , 0.401 , 12.8 , 0.390 , 0.367 , 8.81 , 13.0 , 0.415 , 0.315 , 0.291 , 0.355 , 0.315 , 0.310 , 0.355
26/03/20 , 10:00 , 0.294 , 0.400 , 0.279 , 9.79 , 0.389 , 0.191 , 8.39 , 11.5 , 0.393 , 1.93 , 0.341 , 0.193 , 1.93 , 0.190 , 0.193
26/03/20 , 10:03 , 0.393 , 0.550 , 0.490 , 10.6 , 0.392 , 0.357 , 8.97 , 14.5 , 0.397 , 0.347 , 0.356 , 0.468 , 0.347 , 0.288 , 0.468
26/03/20 , 10:06 , 0.352 , 0.523 , 0.445 , 10.6 , 0.420 , 0.456 , 11.4 , 10.8 , 0.509 , 0.296 , 0.317 , 0.438 , 0.296 , 0.293 , 0.438
26/03/20 , 10:09 , 0.358 , 0.402 , 0.362 , 44.3 , 0.337 , 0.370 , 9.88 , 12.7 , 0.355 , 0.338 , 0.324 , 0.401 , 0.338 , 0.288 , 0.401
26/03/20 , 10:12 , 0.349 , 0.462 , 0.371 , 9.60 , 0.325 , 0.379 , 10.4 , 11.2 , 0.467 , 0.340 , 0.340 , 0.264 , 0.340 , 0.345 , 0.264
26/03/20 , 10:15 , 0.313 , 0.408 , 0.262 , 13.5 , 0.243 , 0.321 , 8.18 , 10.2 , 0.283 , 0.392 , 0.346 , 0.332 , 0.392 , 0.264 , 0.332
26/03/20 , 10:18 , 0.401 , 0.342 , 0.392 , 10.0 , 0.360 , 0.294 , 9.76 , 11.6 , 0.230 , 0.320 , 0.364 , 0.350 , 0.320 , 0.200 , 0.350
26/03/20 , 10:21 , 0.356 , 0.508 , 0.351 , 9.47 , 0.498 , 0.309 , 8.94 , 10.7 , 0.499 , 0.362 , 0.379 , 0.508 , 0.362 , 0.295 , 0.508
26/03/20 , 10:24 , 0.280 , 0.550 , 0.386 , 10.9 , 0.393 , 0.513 , 8.79 , 10.6 , 0.482 , 0.430 , 0.350 , 0.440 , 0.430 , 0.272 , 0.440
26/03/20 , 10:27 , 0.310 , 0.589 , 0.344 , 12.3 , 0.339 , 0.448 , 8.22 , 11.6 , 0.414 , 0.348 , 0.359 , 0.528 , 0.348 , 0.287 , 0.528
26/03/20 , 10:30 , 0.358 , 0.480 , 0.317 , 10.3 , 0.482 , 0.402 , 8.72 , 13.2 , 0.505 , 0.282 , 0.425 , 0.496 , 0.282 , 0.277 , 0.496
26/03/20 , 10:33 , 0.309 , 0.372 , 0.391 , 13.1 , 0.403 , 0.460 , 10.3 , 11.6 , 0.568 , 0.333 , 0.336 , 0.559 , 0.333 , 0.385 , 0.559
26/03/20 , 10:36 , 0.268 , 0.532 , 0.450 , 14.2 , 0.399 , 0.512 , 8.34 , 10.4 , 0.434 , 0.309 , 0.412 , 0.516 , 0.309 , 0.289 , 0.516
26/03/20 , 10:39 , 0.412 , 0.505 , 0.460 , 11.5 , 0.336 , 0.488 , 15.7 , 12.3 , 0.340 , 0.339 , 0.414 , 0.482 , 0.339 , 0.260 , 0.482
26/03/20 , 10:42 , 0.300 , 0.456 , 0.304 , 22.6 , 0.318 , 0.404 , 8.82 , 11.1 , 0.320 , 0.345 , 0.360 , 0.500 , 0.345 , 0.306 , 0.500
26/03/20 , 10:45 , 0.341 , 0.458 , 0.237 , 65.0 , 0.255 , 0.280 , 7.93 , 11.2 , 0.231 , 0.348 , 0.354 , 0.365 , 0.348 , 0.235 , 0.365
26/03/20 , 10:48 , 0.373 , 0.486 , 0.391 , 12.5 , 0.354 , 0.480 , 19.2 , 11.5 , 0.434 , 0.355 , 0.310 , 0.461 , 0.355 , 0.276 , 0.461
26/03/20 , 10:51 , 0.333 , 0.490 , 0.270 , 10.6 , 0.326 , 0.437 , 8.95 , 11.4 , 0.399 , 0.313 , 0.460 , 0.505 , 0.313 , 0.289 , 0.505
26/03/20 , 10:54 , 0.330 , 0.431 , 0.339 , 17.3 , 0.335 , 0.339 , 9.05 , 10.7 , 0.369 , 0.306 , 0.374 , 0.341 , 0.306 , 0.243 , 0.341
26/03/20 , 10:57 , 0.330 , 0.434 , 0.293 , 11.6 , 0.430 , 0.424 , 9.59 , 13.3 , 0.420 , 0.392 , 0.294 , 0.518 , 0.392 , 0.303 , 0.518
26/03/20 , 11:00 , 0.359 , 0.379 , 0.287 , 8.85 , 0.380 , 0.294 , 7.94 , 13.0 , 0.468 , 0.354 , 0.333 , 0.394 , 0.354 , 0.290 , 0.394
26/03/20 , 11:03 , 0.252 , 0.538 , 0.292 , 9.81 , 0.390 , 0.426 , 10.6 , 11.3 , 0.531 , 0.374 , 0.413 , 0.516 , 0.374 , 0.389 , 0.516
26/03/20 , 11:06 , 0.362 , 0.505 , 0.379 , 9.94 , 0.397 , 0.431 , 8.96 , 10.4 , 0.446 , 0.316 , 0.227 , 0.357 , 0.316 , 0.319 , 0.357
26/03/20 , 11:09 , 0.321 , 0.360 , 0.234 , 11.5 , 0.324 , 0.258 , 11.9 , 10.7 , 0.333 , 0.397 , 0.382 , 0.269 , 0.397 , 0.339 , 0.269
26/03/20 , 11:12 , 0.338 , 0.428 , 0.327 , 9.85 , 0.344 , 0.332 , 8.89 , 12.2 , 0.455 , 0.414 , 0.338 , 0.240 , 0.414 , 0.220 , 0.240
26/03/20 , 11:15 , 0.327 , 0.498 , 0.334 , 11.3 , 0.489 , 0.393 , 8.48 , 10.5 , 0.323 , 0.315 , 0.289 , 0.401 , 0.315 , 0.255 , 0.401
26/03/20 , 11:18 , 0.390 , 0.504 , 0.424 , 11.3 , 0.345 , 0.423 , 9.99 , 76.4 , 0.443 , 0.333 , 0.382 , 0.447 , 0.333 , 0.354 , 0.447
26/03/20 , 11:21 , 0.336 , 0.300 , 0.276 , 11.2 , 0.449 , 0.288 , 10.2 , 367 , 0.347 , 0.314 , 0.205 , 0.284 , 0.314 , 0.214 , 0.284
26/03/20 , 11:24 , 0.333 , 0.510 , 0.266 , 10.8 , 0.273 , 0.305 , 8.74 , 18.3 , 0.396 , 0.326 , 0.348 , 0.400 , 0.326 , 0.316 , 0.400
26/03/20 , 11:27 , 0.375 , 0.438 , 0.292 , 11.6 , 0.444 , 0.326 , 10.9 , 59.2 , 0.452 , 0.280 , 0.338 , 0.456 , 0.280 , 0.271 , 0.456
26/03/20 , 11:30 , 0.368 , 0.383 , 0.497 , 14.4 , 0.409 , 0.504 , 9.21 , 14.0 , 0.429 , 0.319 , 0.339 , 0.511 , 0.319 , 0.300 , 0.511
26/03/20 , 11:33 , 0.386 , 0.484 , 0.373 , 8.60 , 0.319 , 0.304 , 9.16 , 28.6 , 0.313 , 0.370 , 0.367 , 0.461 , 0.370 , 0.307 , 0.461
26/03/20 , 11:36 , 0.297 , 0.465 , 0.329 , 10.9 , 0.354 , 0.345 , 8.85 , 27.8 , 0.492 , 0.358 , 0.331 , 0.325 , 0.358 , 0.260 , 0.325
26/03/20 , 11:39 , 0.533 , 0.347 , 0.289 , 9.77 , 0.236 , 0.238 , 7.87 , 17.8 , 0.324 , 0.348 , 0.358 , 0.301 , 0.348 , 0.226 , 0.301
26/03/20 , 11:42 , 0.358 , 0.494 , 0.379 , 12.1 , 0.416 , 0.365 , 8.24 , 12.5 , 0.424 , 0.359 , 0.267 , 0.278 , 0.359 , 0.287 , 0.278
26/03/20 , 11:45 , 0.389 , 0.392 , 0.207 , 9.94 , 0.342 , 0.215 , 8.30 , 35.7 , 0.335 , 0.294 , 0.354 , 0.221 , 0.294 , 0.203 , 0.221
26/03/20 , 11:48 , 0.372 , 0.507 , 0.251 , 9.03 , 0.230 , 0.248 , 11.8 , 50.0 , 0.454 , 0.343 , 0.297 , 0.429 , 0.343 , 0.311 , 0.429
26/03/20 , 11:51 , 0.332 , 0.479 , 0.372 , 19.7 , 0.349 , 0.420 , 10.2 , 47.5 , 0.447 , 0.313 , 0.432 , 0.446 , 0.313 , 0.354 , 0.446
26/03/20 , 11:54 , 23.6 , 0.557 , 0.532 , 9.17 , 0.395 , 0.533 , 100 , 67.5 , 0.520 , 0.345 , 0.354 , 0.539 , 0.345 , 0.396 , 0.539
26/03/20 , 11:57 , 3.01 , 0.352 , 0.334 , 11.0 , 0.282 , 0.338 , 8.83 , 41.7 , 0.321 , 0.273 , 0.301 , 0.369 , 0.273 , 0.266 , 0.369
26/03/20 , 12:00 , 2569 , 0.568 , 0.595 , 10.3 , 0.366 , 0.414 , 10.0 , 47.9 , 0.471 , 0.366 , 0.382 , 0.445 , 0.366 , 0.256
26/03/20 , 12:03 , 15.5 , 0.574 , 0.487 , 11.8 , 0.351 , 0.519 , 9.27 , 54.0 , 0.519 , 0.326 , 0.341 , 0.501 , 0.326 , 0.325
26/03/20 , 12:06 , 107 , 0.422 , 0.391 , 9.96 , 0.358 , 0.389 , 8.02 , 49.6 , 0.476 , 0.342 , 0.375 , 0.400 , 0.342 , 0.280
26/03/20 , 12:09 , 91.5 , 0.383 , 0.342 , 9.21 , 0.366 , 0.266 , 8.98 , 26.5 , 0.458 , 0.314 , 0.392 , 0.353 , 0.314 , 0.288
26/03/20 , 12:12 , 3.02 , 0.404 , 0.275 , 11.3 , 0.370 , 0.357 , 9.43 , 90.7 , 0.296 , 0.311 , 0.378 , 0.389 , 0.311 , 0.283
26/03/20 , 12:15 , 5.69 , 0.507 , 0.388 , 10.4 , 0.339 , 0.382 , 10.3 , 98.9 , 0.529 , 0.381 , 0.384 , 0.396 , 0.381 , 0.277
26/03/20 , 12:18 , 1.40 , 0.441 , 0.384 , 13.7 , 0.334 , 0.378 , 7.95 , 76.2 , 0.517 , 0.257 , 0.356 , 0.366 , 0.257 , 0.318
26/03/20 , 12:21 , 44.7 , 0.504 , 0.368 , 12.1 , 0.411 , 0.457 , 11.0 , 96.9 , 0.459 , 0.315 , 0.441 , 0.402 , 0.315 , 0.309
26/03/20 , 12:24 , 35.8 , 0.554 , 0.424 , 9.97 , 0.322 , 0.317 , 8.13 , 154 , 0.532 , 0.383 , 0.372 , 0.506 , 0.383 , 0.295
26/03/20 , 12:27 , 24.5 , 0.484 , 0.314 , 11.9 , 0.320 , 0.304 , 8.99 , 178 , 0.513 , 0.326 , 0.304 , 0.476 , 0.326 , 0.312
